chain,iter,log_p,dataset
2,17,497.0,run5p2wgs
0,17,1547.721,run5p2wgs
2,17,-3375.562,run5p2wgs_t
1,17,-3199.058,run5p2wgs_t
3,17,-1733.324,run5p2wgs_t
0,17,368.246,run5p2wgs_t
3,17,-8971.345,run5p3wgs
1,17,-8846.412,run5p3wgs
0,17,-8429.039,run5p3wgs
2,17,-8288.923,run5p3wgs
0,17,-12124.319,run5p3wgs_t
2,17,-11661.227,run5p3wgs_t
1,17,-11339.309,run5p3wgs_t
3,17,-10974.636,run5p3wgs_t
1,17,-12203.754,run5p9wgs
2,17,-11141.863,run5p9wgs
3,17,-11089.672,run5p9wgs
0,17,-10876.943,run5p9wgs
3,17,-16306.526,run5p9wgs_t
0,17,-15143.362,run5p9wgs_t
2,17,-14813.61,run5p9wgs_t
1,17,-14604.943,run5p9wgs_t
1,18,153.86,run5p2wgs
3,18,401.032,run5p2wgs
2,18,467.163,run5p2wgs
0,18,1499.182,run5p2wgs
2,18,-3401.022,run5p2wgs_t
1,18,-3276.542,run5p2wgs_t
3,18,-1638.471,run5p2wgs_t
0,18,510.559,run5p2wgs_t
3,18,-8909.619,run5p3wgs
1,18,-8834.291,run5p3wgs
0,18,-8465.213,run5p3wgs
2,18,-8285.129,run5p3wgs
0,18,-12082.682,run5p3wgs_t
2,18,-11650.654,run5p3wgs_t
1,18,-11394.315,run5p3wgs_t
3,18,-10934.665,run5p3wgs_t
1,18,-12198.768,run5p9wgs
2,18,-11119.492,run5p9wgs
3,18,-11097.975,run5p9wgs
0,18,-10853.52,run5p9wgs
3,18,-16296.811,run5p9wgs_t
0,18,-15263.651,run5p9wgs_t
2,18,-14651.067,run5p9wgs_t
1,18,-14618.609,run5p9wgs_t
1,19,122.483,run5p2wgs
2,19,454.054,run5p2wgs
3,19,556.321,run5p2wgs
0,19,1490.61,run5p2wgs
1,19,-3344.93,run5p2wgs_t
2,19,-3325.179,run5p2wgs_t
3,19,-1562.635,run5p2wgs_t
0,19,543.767,run5p2wgs_t
1,19,-8885.052,run5p3wgs
3,19,-8810.836,run5p3wgs
0,19,-8500.342,run5p3wgs
2,19,-8283.171,run5p3wgs
0,19,-12129.864,run5p3wgs_t
2,19,-11635.197,run5p3wgs_t
1,19,-11339.119,run5p3wgs_t
3,19,-10930.721,run5p3wgs_t
1,19,-12135.225,run5p9wgs
2,19,-11157.838,run5p9wgs
3,19,-11131.64,run5p9wgs
0,19,-10843.172,run5p9wgs
3,19,-16174.636,run5p9wgs_t
0,19,-15401.528,run5p9wgs_t
1,19,-14665.389,run5p9wgs_t
2,19,-14657.076,run5p9wgs_t
1,20,180.904,run5p2wgs
2,20,503.741,run5p2wgs
3,20,677.208,run5p2wgs
0,20,1578.368,run5p2wgs
2,20,-3348.188,run5p2wgs_t
1,20,-3300.409,run5p2wgs_t
3,20,-1633.391,run5p2wgs_t
0,20,428.425,run5p2wgs_t
1,20,-8884.026,run5p3wgs
3,20,-8743.602,run5p3wgs
0,20,-8495.708,run5p3wgs
2,20,-8277.43,run5p3wgs
0,20,-12023.028,run5p3wgs_t
2,20,-11722.887,run5p3wgs_t
1,20,-11491.04,run5p3wgs_t
3,20,-10867.309,run5p3wgs_t
1,20,-12000.942,run5p9wgs
2,20,-11125.225,run5p9wgs
3,20,-11069.246,run5p9wgs
0,20,-10870.805,run5p9wgs
3,20,-16158.486,run5p9wgs_t
0,20,-15368.343,run5p9wgs_t
2,20,-14680.352,run5p9wgs_t
1,20,-14672.347,run5p9wgs_t
1,21,162.88,run5p2wgs
2,21,503.595,run5p2wgs
3,21,677.174,run5p2wgs
0,21,1594.934,run5p2wgs
1,21,-3323.192,run5p2wgs_t
2,21,-3222.929,run5p2wgs_t
3,21,-1587.437,run5p2wgs_t
0,21,529.812,run5p2wgs_t
1,21,-8877.227,run5p3wgs
3,21,-8753.337,run5p3wgs
0,21,-8469.732,run5p3wgs
2,21,-8281.25,run5p3wgs
0,21,-12078.552,run5p3wgs_t
2,21,-11588.745,run5p3wgs_t
1,21,-11439.363,run5p3wgs_t
3,21,-10834.976,run5p3wgs_t
1,21,-12013.333,run5p9wgs
2,21,-11109.436,run5p9wgs
3,21,-11066.748,run5p9wgs
0,21,-10873.626,run5p9wgs
3,21,-16173.87,run5p9wgs_t
0,21,-15303.488,run5p9wgs_t
2,21,-14668.45,run5p9wgs_t
1,21,-14648.683,run5p9wgs_t
1,22,179.186,run5p2wgs
2,22,445.807,run5p2wgs
3,22,815.766,run5p2wgs
0,22,1604.963,run5p2wgs
1,22,-3374.093,run5p2wgs_t
2,22,-3276.544,run5p2wgs_t
3,22,-1661.612,run5p2wgs_t
0,22,576.438,run5p2wgs_t
1,22,-8779.662,run5p3wgs
3,22,-8731.67,run5p3wgs
0,22,-8451.099,run5p3wgs
2,22,-8295.024,run5p3wgs
0,22,-12050.683,run5p3wgs_t
1,22,-11419.855,run5p3wgs_t
2,22,-11400.716,run5p3wgs_t
3,22,-10842.834,run5p3wgs_t
1,22,-11939.919,run5p9wgs
2,22,-11129.92,run5p9wgs
3,22,-11014.747,run5p9wgs
0,22,-10878.173,run5p9wgs
3,22,-16096.464,run5p9wgs_t
0,22,-15252.066,run5p9wgs_t
1,22,-14699.466,run5p9wgs_t
2,22,-14642.804,run5p9wgs_t
1,23,169.382,run5p2wgs
2,23,509.898,run5p2wgs
3,23,866.517,run5p2wgs
0,23,1591.323,run5p2wgs
1,23,-3349.062,run5p2wgs_t
2,23,-3330.656,run5p2wgs_t
3,23,-1623.621,run5p2wgs_t
0,23,528.442,run5p2wgs_t
3,23,-8677.047,run5p3wgs
1,23,-8521.129,run5p3wgs
0,23,-8499.815,run5p3wgs
2,23,-8266.521,run5p3wgs
0,23,-12070.423,run5p3wgs_t
1,23,-11521.363,run5p3wgs_t
2,23,-11324.887,run5p3wgs_t
3,23,-10877.152,run5p3wgs_t
1,23,-11876.95,run5p9wgs
2,23,-11164.918,run5p9wgs
3,23,-11039.704,run5p9wgs
0,23,-10860.785,run5p9wgs
3,23,-16062.116,run5p9wgs_t
0,23,-15112.187,run5p9wgs_t
1,23,-14694.711,run5p9wgs_t
2,23,-14561.383,run5p9wgs_t
1,24,140.108,run5p2wgs
2,24,518.843,run5p2wgs
3,24,841.411,run5p2wgs
0,24,1622.998,run5p2wgs
2,24,-3311.971,run5p2wgs_t
1,24,-3284.299,run5p2wgs_t
3,24,-1670.499,run5p2wgs_t
0,24,499.503,run5p2wgs_t
3,24,-8709.857,run5p3wgs
1,24,-8556.37,run5p3wgs
0,24,-8547.013,run5p3wgs
2,24,-8283.938,run5p3wgs
0,24,-12056.159,run5p3wgs_t
1,24,-11526.841,run5p3wgs_t
2,24,-11218.679,run5p3wgs_t
3,24,-10878.11,run5p3wgs_t
1,24,-11949.306,run5p9wgs
2,24,-11155.365,run5p9wgs
3,24,-10991.893,run5p9wgs
0,24,-10893.47,run5p9wgs
3,24,-16104.984,run5p9wgs_t
0,24,-14983.024,run5p9wgs_t
1,24,-14699.303,run5p9wgs_t
2,24,-14498.544,run5p9wgs_t
1,25,202.653,run5p2wgs
2,25,560.53,run5p2wgs
3,25,819.964,run5p2wgs
0,25,1627.908,run5p2wgs
